batch_id,item,expiry_date
REAG-CBC-A,REAG-CBC,2026-11-02
REAG-CBC-B,REAG-CBC,2027-10-08
REAG-ESR-A,REAG-ESR,2026-12-02
REAG-ESR-B,REAG-ESR,2027-09-03
REAG-GLUCOSE-A,REAG-GLUCOSE,2026-11-17
REAG-GLUCOSE-B,REAG-GLUCOSE,2027-09-18
REAG-HBA1C-A,REAG-HBA1C,2027-01-01
REAG-HBA1C-B,REAG-HBA1C,2027-10-28
REAG-LIPID-A,REAG-LIPID,2026-10-28
REAG-LIPID-B,REAG-LIPID,2027-09-28
REAG-LFT-A,REAG-LFT,2026-10-18
REAG-LFT-B,REAG-LFT,2027-10-18
REAG-RFT-A,REAG-RFT,2026-11-12
REAG-RFT-B,REAG-RFT,2027-10-03
REAG-TSH-A,REAG-TSH,2026-12-22
REAG-TSH-B,REAG-TSH,2027-11-07
REAG-VITD-A,REAG-VITD,2027-01-11
REAG-VITD-B,REAG-VITD,2027-11-17
REAG-CRP-A,REAG-CRP,2026-11-07
REAG-CRP-B,REAG-CRP,2027-09-08
REAG-BLOODGRP-A,REAG-BLOODGRP,2026-12-07
REAG-BLOODGRP-B,REAG-BLOODGRP,2027-08-29
CTRL-HEMA-A,CTRL-HEMA,2026-10-13
CTRL-HEMA-B,CTRL-HEMA,2027-06-30
CTRL-CHEM-A,CTRL-CHEM,2026-10-23
CTRL-CHEM-B,CTRL-CHEM,2027-07-10
STRIP-URINE-A,STRIP-URINE,2026-11-27
STRIP-URINE-B,STRIP-URINE,2027-10-08
