stock_entry_type,purpose,company,items.item_code,items.qty,items.basic_rate,items.t_warehouse,items.use_serial_batch_fields,items.batch_no
Material Receipt,Material Receipt,<YOUR COMPANY>,CONS-NEEDLE-21G,500,0.45,<LAB STORE WAREHOUSE>,0,
,,,CONS-NEEDLE-23G,300,0.45,<LAB STORE WAREHOUSE>,0,
,,,CONS-BUTTERFLY-23G,200,1.8,<LAB STORE WAREHOUSE>,0,
,,,CONS-SYRINGE-5ML,300,0.9,<LAB STORE WAREHOUSE>,0,
,,,CONS-COTTON-BALL,2000,0.05,<LAB STORE WAREHOUSE>,0,
,,,CONS-ALCOHOL-SWAB,2000,0.08,<LAB STORE WAREHOUSE>,0,
,,,CONS-GLOVES-NITRILE,1000,0.35,<LAB STORE WAREHOUSE>,0,
,,,CONS-TOURNIQUET,200,1.2,<LAB STORE WAREHOUSE>,0,
,,,CONS-PLASTER,1000,0.06,<LAB STORE WAREHOUSE>,0,
,,,CONS-TUBE-EDTA,800,0.55,<LAB STORE WAREHOUSE>,0,
,,,CONS-TUBE-SST,800,0.75,<LAB STORE WAREHOUSE>,0,
,,,CONS-TUBE-FLUORIDE,300,0.6,<LAB STORE WAREHOUSE>,0,
,,,CONS-TUBE-CITRATE,200,0.65,<LAB STORE WAREHOUSE>,0,
,,,CONS-CUP-URINE,400,0.4,<LAB STORE WAREHOUSE>,0,
,,,CONS-TIP-200UL,2000,0.03,<LAB STORE WAREHOUSE>,0,
,,,CONS-TIP-1000UL,1000,0.05,<LAB STORE WAREHOUSE>,0,
,,,CONS-CUVETTE,2000,0.12,<LAB STORE WAREHOUSE>,0,
,,,CONS-SLIDE,500,0.1,<LAB STORE WAREHOUSE>,0,
,,,REAG-CBC,12,180.0,<LAB STORE WAREHOUSE>,1,REAG-CBC-A
,,,REAG-CBC,20,180.0,<LAB STORE WAREHOUSE>,1,REAG-CBC-B
,,,REAG-ESR,8,95.0,<LAB STORE WAREHOUSE>,1,REAG-ESR-A
,,,REAG-ESR,12,95.0,<LAB STORE WAREHOUSE>,1,REAG-ESR-B
,,,REAG-GLUCOSE,10,120.0,<LAB STORE WAREHOUSE>,1,REAG-GLUCOSE-A
,,,REAG-GLUCOSE,15,120.0,<LAB STORE WAREHOUSE>,1,REAG-GLUCOSE-B
,,,REAG-HBA1C,6,320.0,<LAB STORE WAREHOUSE>,1,REAG-HBA1C-A
,,,REAG-HBA1C,10,320.0,<LAB STORE WAREHOUSE>,1,REAG-HBA1C-B
,,,REAG-LIPID,8,260.0,<LAB STORE WAREHOUSE>,1,REAG-LIPID-A
,,,REAG-LIPID,12,260.0,<LAB STORE WAREHOUSE>,1,REAG-LIPID-B
,,,REAG-LFT,10,240.0,<LAB STORE WAREHOUSE>,1,REAG-LFT-A
,,,REAG-LFT,14,240.0,<LAB STORE WAREHOUSE>,1,REAG-LFT-B
,,,REAG-RFT,10,230.0,<LAB STORE WAREHOUSE>,1,REAG-RFT-A
,,,REAG-RFT,14,230.0,<LAB STORE WAREHOUSE>,1,REAG-RFT-B
,,,REAG-TSH,5,410.0,<LAB STORE WAREHOUSE>,1,REAG-TSH-A
,,,REAG-TSH,9,410.0,<LAB STORE WAREHOUSE>,1,REAG-TSH-B
,,,REAG-VITD,5,480.0,<LAB STORE WAREHOUSE>,1,REAG-VITD-A
,,,REAG-VITD,8,480.0,<LAB STORE WAREHOUSE>,1,REAG-VITD-B
,,,REAG-CRP,8,175.0,<LAB STORE WAREHOUSE>,1,REAG-CRP-A
,,,REAG-CRP,12,175.0,<LAB STORE WAREHOUSE>,1,REAG-CRP-B
,,,REAG-BLOODGRP,6,140.0,<LAB STORE WAREHOUSE>,1,REAG-BLOODGRP-A
,,,REAG-BLOODGRP,10,140.0,<LAB STORE WAREHOUSE>,1,REAG-BLOODGRP-B
,,,CTRL-HEMA,4,210.0,<LAB STORE WAREHOUSE>,1,CTRL-HEMA-A
,,,CTRL-HEMA,8,210.0,<LAB STORE WAREHOUSE>,1,CTRL-HEMA-B
,,,CTRL-CHEM,4,195.0,<LAB STORE WAREHOUSE>,1,CTRL-CHEM-A
,,,CTRL-CHEM,8,195.0,<LAB STORE WAREHOUSE>,1,CTRL-CHEM-B
,,,STRIP-URINE,200,1.6,<LAB STORE WAREHOUSE>,1,STRIP-URINE-A
,,,STRIP-URINE,300,1.6,<LAB STORE WAREHOUSE>,1,STRIP-URINE-B
